Composition(mole fraction),Density (g.cm3) ROM,Young modulus ROM,"Young Modulus (GPa) (experimental) /first
principles",Equilibrium conditions,Single/ Multiphase material,Type of present phases,Tension/ Compression,Testing T (∞C),Yield Strength (MPa),Specific Yield Strength (MPa-cm3/g)
AI0.25MONBTIV,7.1,163.6,168,AC,S,BCC,C,25,1250,176.6
Al0.25NbTaTiv,8.8,130,94,AC,S,BCC,C,25,1330,151.2
AI0.25NbTaTizr,8.6,,118,HIP+A,M,BCC+B2,C,25,1745,203.1
Al0.25NbTaTiZr,8.6,,63,HIP+A,M,BCC+B2,C,1000,366,42.6
A10.2MOTATIV,9.3,184,,AC,S,BCC,C,25,1021,110.3
AI0.3HfNbTaTizr,9.6,108.3,63,AC,S,BCC,C,25,1188,124.4
A10.3NbTa0.800Tƒ∞1.4V0.2Zr1.3,7.7,110.2,,HIP+A,S,BCC,C,25,1965,255
A10.3NbTa0.800T11.4V0.2Zr1.3,7.7,,,HIP+A,S,BCC,C,1000,166,21.5
AI0.3NbTa0.800T11.4V0.2Zr1.3,7.7,,,HIP+A,S,BCC,C,800,678,88
Al0.3NbTaTi1.4Zr1.3,8.1,,,HIP+A,M,BCC+B2,C,25,1965,242.6
AI0.3N6TATI1.4Zr1.3,8.1,,,HIP+A,M,BCC+B2,C,1000,236,29.2
AI0.3N6TATI1.4Zr1.3,8.1,,,HIP+A,M,BCC+B2,C,800,362,44.7
AI0.4HF0.6NbTaTizr,9.1,110,,HIP+A,S,BCC,C,25,1841,202.5
Al0.4HF0.6NbTaTizr,9.1,,,HIP+A,S,BCC,C,1000,298,32.8
AI0.4HF0.6NbTaTizr,9.1,,,HIP+A,S,BCC,C,800,796,87.6
AI0.4HF0.6NbTaTizr,9.1,110,78.1,HIP+A,S,BCC,C,25,1841,202.5
AI0.4HF0.6NbTaTizr,9.1,,,HIP+A,S,BCC,C,1000,89,9.8
AI0.4HF0.6NbTaTizr,9.1,,23.3,HIP+A,S,BCC,C,1000,25,32.8
AI0.4HF0.6NbTaTizr,9.1,,48.8,HIP+A,S,BCC,C,800,796,87.6
Al0.5CrNbTi2V0.5,5.8,,,A,M,BCC+Laves,C,25,1340,232.4
AI0.5CrNbTi2V0.5,5.8,143,,AC,S,BCC,C,25,1240,215
AI0.5CrNbTi2V0.5,5.8,,,A,M,BCC+Laves,C,1000,90,15.6
AI0.5CrNbTi2V0.5,5.8,,,A,M,BCC+Laves,C,800,445,77.2
AI0.5CrNbTi2V0.5,5.8,,,A,M,BCC+Laves,C,600,930,161.3
A10.5HfNbTaTizr,9.3,106.6,97,AC,S,BCC,C,25,1302,139.4
AI0.5M00.5NBTA0.5Tizr,7.6,,132,HIP+A,M,BCC+B2,C,25,2350,309.7
